sch_id,div_num,div_name,school_num,school_name,school_name2,type0809,lowgrade_2008,higrade_2008,totalFT_2008,total_2008,snp_0809,free_elig_0809,free_per_0809,red_elig_0809,red_per_0809,totalFRL_0809,totalper_0809,type0910,lowgrade_2009,higrade_2009,totalFT_2009,total_2009,snp_0910,free_elig_0910,free_per_0910,red_elig_0910,red_per_0910,totalFRL_09010,totalper_0910,type1011,lowgrade_2010,higrade_2010,totalFT_2010,total_2010,snp_1011,free_elig_1011,free_per_1011,red_elig_1011,red_per_1011,totalFRL_1011,totalper_1011,type1112,lowgrade_2011,higrade_2011,totalFT_2011,total_2011,snp_1112,free_elig_1112,free_per_1112,red_elig_1112,red_per_1112,totalFRL_1112,totalper_1112,type1213,lowgrade_2012,higrade_2012,totalFT_2012,total_2012,snp_1213,free_elig_1213,free_per_1213,red_elig_1213,red_per_1213,totalFRL_1213,totalper_1213,type1314,lowgrade_2013,higrade_2013,totalFT_2013,total_2013,snp_1314,free_elig_1314,free_per_1314,red_elig_1314,red_per_1314,totalFRL_1314,totalper_1314,type1415,lowgrade_2014,higrade_2014,totalFT_2014,total_2014,snp_1415,free_elig_1415,free_per_1415,red_elig_1415,red_per_1415,totalFRL_1415,totalper_1415,CEP_1516,type1516,lowgrade_2015,higrade_2015,totalFT_2015,total_2015,snp_1516,free_elig_1516,free_per_1516,red_elig_1516,red_Per_1516,totalFRL_1516,totalper_1516,CEP_1617,type1617,lowgrade_2016,higrade_2016,totalFT_2016,total_2016,snp_2016,free_elig_1617,free_per_1617,red_elig_1617,red_per_1617,totalFRL_1617,totalper_1617,CEP_1718,type1718,lowgrade_2017,higrade_2017,totalFT_2017,total_2017,snp_1718,free_elig_1718,free_per_1718,red_elig_1718,red_per_1718,totalFRL_1718,totalper_1718,stable,new,closed,close_yr,reuseid,gradechg,gradechg_yr,grchgyr_2
001-0070,1,Accomack County,0070 ,NANDUA HIGH,,SCH-HIGH,9,12,731,731,659,306,46.43%,64,9.71%,370,56.15%,SCH-HIGH,9,12,654,654,655,290,44.27%,37,5.65%,327,49.92%,SCH-HIGH,9,12,603,603,603,285,47.26%,46,7.63%,331,54.89%,SCH-HIGH,9,12,593,593,593,289,48.74%,50,8.43%,339,57.17%,SCH-HIGH,9,12,637,637,633,324,51.18%,42,6.64%,366,57.82%,SCH-HIGH,9,12,670,670,668,346,51.80%,44,6.59%,390,58.38%,,9,12,685,685,672,361,53.72%,40,5.95%,401,59.67%,#NULL!,SCH-HIGH,9,12,737,737,728,362,49.73%,46,6.32%,408,56.04%,#NULL!,SCH-HIGH,9,12,747,747,743,357,48.05%,39,5.25%,396,53.30%,#NULL!,High,9,12,741,742,783,364,46.49%,39,4.98%,403,51.47%,1,0,0,0,0,0,0,0
001-0080,1,Accomack County,0080 ,CHINCOTEAGUE ELEM,,SCH-ELEM,PK,5,263,263,257,95,36.96%,8,3.11%,103,40.08%,SCH-ELEM,PK,5,266,266,266,99,37.22%,14,5.26%,113,42.48%,SCH-ELEM,PK,5,268,268,277,108,38.99%,8,2.89%,116,41.88%,SCH-ELEM,PK,5,276,276,281,116,41.28%,14,4.98%,130,46.26%,SCH-ELEM,PK,5,258,258,259,117,45.17%,20,7.72%,137,52.90%,SCH-ELEM,PK,5,238,238,239,102,42.68%,19,7.95%,121,50.63%,,PK,5,251,251,239,93,38.91%,17,7.11%,110,46.03%,#NULL!,SCH-ELEM,PK,5,259,259,268,109,40.67%,16,5.97%,125,46.64%,#NULL!,SCH-ELEM,PK,5,255,255,250,110,44.00%,9,3.60%,119,47.60%,#NULL!,Elementary,PK,5,236,236,258,96,37.21%,7,2.71%,103,39.92%,1,0,0,0,0,0,0,0
001-0530,1,Accomack County,0530 ,TANGIER COMBINED,,SCH-COMB,KG,12,80,80,80,38,47.50%,0,0.00%,38,47.50%,SCH-COMB,KG,12,78,78,78,36,46.15%,0,0.00%,36,46.15%,SCH-COMB,KG,12,74,74,74,32,43.24%,0,0.00%,32,43.24%,SCH-COMB,KG,12,73,73,73,31,42.47%,0,0.00%,31,42.47%,SCH-COMB,KG,12,68,68,68,21,30.88%,5,7.35%,26,38.24%,SCH-COMB,KG,12,66,66,56,12,21.43%,4,7.14%,16,28.57%,,KG,12,65,65,61,14,22.95%,4,6.56%,18,29.51%,#NULL!,SCH-COMB,KG,12,65,65,67,12,17.91%,4,5.97%,16,23.88%,#NULL!,SCH-COMB,KG,12,66,66,45,15,33.33%,2,4.44%,17,37.78%,#NULL!,Combined,KG,12,60,60,62,22,35.48%,2,3.23%,24,38.71%,1,0,0,0,0,0,0,0
001-0540,1,Accomack County,0540 ,ARCADIA HIGH,,SCH-HIGH,9,12,638,638,622,289,46.46%,56,9.00%,345,55.47%,SCH-HIGH,9,12,634,634,635,286,45.04%,66,10.39%,352,55.43%,SCH-HIGH,9,12,614,614,606,308,50.83%,50,8.25%,358,59.08%,SCH-HIGH,9,12,605,605,611,318,52.05%,44,7.20%,362,59.25%,SCH-HIGH,9,12,579,579,579,348,60.10%,33,5.70%,381,65.80%,SCH-HIGH,9,12,582,582,589,347,58.91%,54,9.17%,401,68.08%,,9,12,581,581,586,351,59.90%,40,6.83%,391,66.72%,#NULL!,SCH-HIGH,9,12,621,621,608,339,55.76%,47,7.73%,386,63.49%,#NULL!,SCH-HIGH,9,12,606,606,605,367,60.66%,53,8.76%,420,69.42%,#NULL!,High,9,12,624,624,657,364,55.40%,56,8.52%,420,63.93%,1,0,0,0,0,0,0,0
001-0580,1,Accomack County,0580 ,CHINCOTEAGUE HIGH,,SCH-COMB,6,12,333,333,329,101,30.70%,9,2.74%,110,33.43%,SCH-COMB,6,12,301,301,300,103,34.33%,9,3.00%,112,37.33%,SCH-COMB,6,12,279,279,279,100,35.84%,5,1.79%,105,37.63%,SCH-COMB,6,12,291,291,294,95,32.31%,9,3.06%,104,35.37%,SCH-COMB,6,12,292,292,292,102,34.93%,12,4.11%,114,39.04%,SCH-COMB,6,12,301,301,302,115,38.08%,13,4.30%,128,42.38%,,6,12,290,290,291,97,33.33%,15,5.15%,112,38.49%,#NULL!,SCH-COMB,6,12,291,291,293,92,31.40%,9,3.07%,101,34.47%,#NULL!,SCH-COMB,6,12,282,282,283,94,33.22%,5,1.77%,99,34.98%,#NULL!,Combined,6,12,286,286,292,96,32.88%,9,3.08%,105,35.96%,1,0,0,0,0,0,0,0
001-0590,1,Accomack County,0590 ,PUNGOTEAGUE ELEM,,SCH-ELEM,PK,5,536,536,518,350,67.57%,32,6.18%,382,73.75%,SCH-ELEM,PK,5,531,531,533,368,69.04%,28,5.25%,396,74.30%,SCH-ELEM,PK,5,536,536,533,375,70.36%,35,6.57%,410,76.92%,SCH-ELEM,PK,5,533,533,529,366,69.19%,34,6.43%,400,75.61%,SCH-ELEM,PK,5,505,505,498,364,73.09%,25,5.02%,389,78.11%,SCH-ELEM,PK,5,530,530,524,414,79.01%,30,5.73%,444,84.73%,,PK,5,510,510,506,391,77.27%,28,5.53%,419,82.81%,#NULL!,SCH-ELEM,PK,5,492,492,491,358,72.91%,36,7.33%,394,80.24%,#NULL!,SCH-ELEM,PK,5,482,482,505,343,67.92%,29,5.74%,372,73.66%,#NULL!,Elementary,PK,5,485,485,554,362,65.34%,23,4.15%,385,69.49%,1,0,0,0,0,0,0,0
001-0600,1,Accomack County,0600 ,KEGOTANK ELEM,,SCH-ELEM,PK,5,610,610,569,394,69.24%,49,8.61%,443,77.86%,SCH-ELEM,PK,5,625,625,605,404,66.78%,61,10.08%,465,76.86%,SCH-ELEM,PK,5,604,604,597,415,69.51%,41,6.87%,456,76.38%,SCH-ELEM,PK,5,593,593,578,426,73.70%,27,4.67%,453,78.37%,SCH-ELEM,PK,5,628,628,625,459,73.44%,31,4.96%,490,78.40%,SCH-ELEM,PK,5,650,650,631,443,70.21%,42,6.66%,485,76.86%,,PK,5,623,623,607,411,67.71%,44,7.25%,455,74.96%,#NULL!,SCH-ELEM,PK,5,601,601,605,413,68.26%,35,5.79%,448,74.05%,#NULL!,SCH-ELEM,PK,5,596,596,615,414,67.32%,47,7.64%,461,74.96%,#NULL!,Elementary,PK,5,583,583,652,376,57.67%,45,6.90%,421,64.57%,1,0,0,0,0,0,0,0
001-0701,1,Accomack County,0701 ,ACCAWMACKE ELEM,,SCH-ELEM,PK,5,490,490,481,274,56.96%,45,9.36%,319,66.32%,SCH-ELEM,PK,5,500,500,494,296,59.92%,26,5.26%,322,65.18%,SCH-ELEM,PK,5,558,558,551,318,57.71%,30,5.44%,348,63.16%,SCH-ELEM,PK,5,582,582,588,371,63.10%,32,5.44%,403,68.54%,SCH-ELEM,PK,5,562,562,571,385,67.43%,25,4.38%,410,71.80%,SCH-ELEM,PK,5,551,551,561,372,66.31%,19,3.39%,391,69.70%,,PK,5,559,559,570,383,67.19%,25,4.39%,408,71.58%,#NULL!,SCH-ELEM,PK,5,582,582,603,387,64.18%,30,4.98%,417,69.15%,#NULL!,SCH-ELEM,PK,5,540,540,531,356,67.04%,24,4.52%,380,71.56%,#NULL!,Elementary,PK,5,550,550,576,364,63.19%,34,5.90%,398,69.10%,1,0,0,0,0,0,0,0
001-0702,1,Accomack County,0702 ,METOMPKIN ELEM,,SCH-ELEM,PK,5,585,585,567,369,65.08%,61,10.76%,430,75.84%,SCH-ELEM,PK,5,616,616,610,425,69.67%,47,7.70%,472,77.38%,SCH-ELEM,PK,5,617,617,614,461,75.08%,45,7.33%,506,82.41%,SCH-ELEM,PK,5,589,589,599,474,79.13%,33,5.51%,507,84.64%,SCH-ELEM,PK,5,595,595,599,482,80.47%,37,6.18%,519,86.64%,SCH-ELEM,PK,5,637,637,644,547,84.94%,20,3.11%,567,88.04%,,PK,5,642,642,653,539,82.54%,26,3.98%,565,86.52%,#NULL!,SCH-ELEM,PK,5,638,638,646,535,82.82%,19,2.94%,554,85.76%,#NULL!,SCH-ELEM,PK,5,634,634,632,518,81.96%,39,6.17%,557,88.13%,#NULL!,Elementary,PK,5,600,600,662,425,64.20%,31,4.68%,456,68.88%,1,0,0,0,0,0,0,0
001-0703,1,Accomack County,0703 ,NANDUA MIDDLE,,SCH-MID,6,8,450,450,446,240,53.81%,52,11.66%,292,65.47%,SCH-MID,6,8,457,457,455,271,59.56%,32,7.03%,303,66.59%,SCH-MID,6,8,472,472,461,268,58.13%,36,7.81%,304,65.94%,SCH-MID,6,8,522,522,519,309,59.54%,40,7.71%,349,67.24%,SCH-MID,6,8,554,554,551,337,61.16%,29,5.26%,366,66.42%,SCH-MID,6,8,547,547,546,340,62.27%,30,5.49%,370,67.77%,,6,8,559,559,558,326,58.42%,33,5.91%,359,64.34%,#NULL!,SCH-MID,6,8,540,540,537,327,60.89%,38,7.08%,365,67.97%,#NULL!,SCH-MID,6,8,563,563,561,326,58.11%,34,6.06%,360,64.17%,#NULL!,Middle,6,8,514,514,547,327,59.78%,30,5.48%,357,65.27%,1,0,0,0,0,0,0,0
