Locality,Div_num,All2012_13,All2013_14,All2014_15,All2015_16,All2016_17,Deg4yr2012_13,Deg4yr2013_14,Deg4yr2014_15,Deg4yr2015_16,Deg4yr2016_17,Deg2yr2012_13,Deg2yr2013_14,Deg2yr2014_15,Deg2yr2015_16,Deg2yr2016_17,TotAll,Tot2yr,Tot4yr
Accomack County,1,226,198,183,183,160,71,74,71,76,75,155,124,112,107,85,950,583,367
Albemarle County,2,754,760,766,988,938,389,451,451,481,450,365,309,315,507,488,4206,1984,2222
Alexandria city,101,856,954,947,932,872,387,387,377,394,402,469,567,570,538,470,4561,2614,1947
Alleghany County,3,119,103,124,139,213,33,25,39,42,36,86,78,85,97,177,698,523,175
Amelia County,4,91,100,79,101,99,44,41,31,42,31,47,59,48,59,68,470,281,189
Amherst County,5,253,261,280,284,278,120,130,134,120,137,133,131,146,164,141,1356,715,641
Appomattox County,6,148,150,131,139,109,49,54,47,53,48,99,96,84,86,61,677,426,251
Arlington County,7,968,896,984,"1,022","1,037",561,536,613,620,644,407,360,371,402,393,4907,1933,2974
Augusta County,8,512,513,529,593,568,215,251,226,242,245,297,262,303,351,323,2715,1536,1179
Bath County,9,33,31,25,43,40,13,17,9,16,11,20,14,16,27,29,172,106,66
Bedford city,140,72,52,61,50,47,48,31,31,35,30,24,21,30,15,17,282,107,175
Bedford County,10,619,620,639,729,641,355,349,361,341,294,264,271,278,388,347,3248,1548,1700
Bland County,11,79,63,65,100,77,16,16,13,21,12,63,47,52,79,65,384,306,78
Botetourt County,12,295,291,291,290,325,178,163,176,168,179,117,128,115,122,146,1492,628,864
Bristol city,102,131,131,145,162,123,39,25,38,29,30,92,106,107,133,93,692,531,161
Brunswick County,13,156,163,159,163,164,41,30,49,48,40,115,133,110,115,124,805,597,208
Buchanan County,14,154,204,153,195,140,36,36,27,40,24,118,168,126,155,116,846,683,163
Buckingham County,15,82,81,119,117,147,26,25,42,37,45,56,56,77,80,102,546,371,175
Buena Vista city,103,55,44,33,43,82,34,28,24,24,52,21,16,9,19,30,257,95,162
Campbell County,16,428,473,441,557,462,223,226,209,188,189,205,247,232,369,273,2361,1326,1035
Caroline County,17,175,156,163,164,180,75,63,75,73,87,100,93,88,91,93,838,465,373
Carroll County,18,326,299,316,348,291,62,61,60,73,44,264,238,256,275,247,1580,1280,300
Charles City County,19,29,49,26,38,40,16,18,14,16,13,13,31,12,22,27,182,105,77
Charlotte County,20,161,178,162,162,190,32,47,41,38,41,129,131,121,124,149,853,654,199
Charlottesville city,104,266,283,326,361,336,175,179,179,200,175,91,104,147,161,161,1572,664,908
Chesapeake city,136,"2,195","2,144","2,133","2,136","2,109",1280,1248,1240,1234,1176,915,896,893,902,933,10717,4539,6178
Chesterfield County,21,"2,831","2,850","2,891","2,999","3,132",1712,1851,1822,1763,1840,"1,119",999,"1,069","1,236","1,292",14703,5715,8988
Clarke County,22,99,123,134,127,139,62,69,79,71,56,37,54,55,56,83,622,285,337
Colonial Heights city,106,164,149,180,184,170,100,78,103,110,99,64,71,77,74,71,847,357,490
Covington city,107,55,35,52,56,67,40,24,32,23,35,15,11,20,33,32,265,111,154
Craig County,23,39,25,31,37,31,20,16,10,15,13,19,9,21,22,18,163,89,74
Culpeper County,24,361,348,375,410,437,137,135,144,176,160,224,213,231,234,277,1931,1179,752
Cumberland County,25,94,96,90,80,83,29,19,19,19,23,65,77,71,61,60,443,334,109
Danville city,108,541,576,532,491,413,187,181,201,144,155,354,395,331,347,258,2553,1685,868
Dickenson County,26,121,119,105,129,111,23,28,23,22,14,98,91,82,107,97,585,475,110
Dinwiddie County,27,121,111,152,139,179,53,53,69,64,66,68,58,83,75,113,702,397,305
Emporia city,,35,40,66,48,37,6,11,9,6,12,29,29,57,42,25,226,182,44
Essex County,28,101,99,86,83,92,34,46,31,30,35,67,53,55,53,57,461,285,176
Fairfax City,,447,437,327,371,407,330,333,236,247,291,117,104,91,124,116,1989,552,1437
Fairfax County,29,"9,478","9,144","9,432","9,516","9,407",6185,6163,6426,6525,6630,"3,293","2,981","3,006","2,991","2,777",46977,15048,31929
Falls Church city,109,179,245,243,236,248,87,91,112,102,91,92,154,131,134,157,1151,668,483
Fauquier County,30,608,643,615,620,698,335,352,342,345,365,273,291,273,275,333,3184,1445,1739
Floyd County,31,115,99,80,113,106,47,46,29,48,42,68,53,51,65,64,513,301,212
Fluvanna County,32,228,208,251,300,287,107,106,109,126,101,121,102,142,174,186,1274,725,549
Franklin city,135,90,73,96,89,117,28,24,32,24,30,62,49,64,65,87,465,327,138
Franklin County,33,332,363,372,376,397,155,169,184,176,170,177,194,188,200,227,1840,986,854
Frederick County,34,619,667,623,703,764,252,275,251,298,323,367,392,372,405,441,3376,1977,1399
Fredericksburg city,110,490,472,478,562,565,126,118,137,140,140,364,354,341,422,425,2567,1906,661
Galax city,111,123,101,102,94,108,37,26,44,47,35,86,75,58,47,73,528,339,189
