student_id,standing,college,required
1,masters,engineering,yes
2,masters,engineering,yes
3,masters,engineering,no
4,masters,engineering,yes
5,masters,engineering,no
6,masters,engineering,no
7,masters,engineering,no
8,masters,engineering,yes
9,masters,engineering,yes
10,masters,engineering,no
11,masters,engineering,yes
12,masters,engineering,no
13,doctoral,education,no
14,doctoral,education,no
15,doctoral,education,no
16,doctoral,education,yes
17,doctoral,education,yes
18,doctoral,education,yes
19,doctoral,education,no
20,doctoral,education,yes
21,doctoral,education,no
22,doctoral,education,yes
23,doctoral,education,yes
24,doctoral,education,no
