Locality,TotAll,Tot2yr,Tot4yr,%2r,%4yr,TotSTEMHall,TotSTEMH2yr,TotSTEMH4yr,%STEMHall,%STEMH2yr,%STEMH4yr,TotEngAll,TotEng2yr,TotEng4yr,%EngSTEMH,%EngSTEMH2y,%EngSTEMH4yr,%EngTotDeg,%EngTot2yr,%EngTot4yr,TotCSAll,TotCS2yr,TotCS4yr,%CSSTEMH,%CSSTEMH2y,%CSSTEMH4yr,%CSTotDeg,%CSTot2yr,%CSTot4yr,Div_num
Accomack County,950,583,367,0.614,0.386,331,205,126,0.3484,0.3516,0.3433,15,0,15,0.0453,0.0000,0.1190,0.0158,0.0000,0.0409,11,2,9,0.0332,0.0098,0.0714,0.0116,0.0034,0.0245,1
Albemarle County,4206,1984,2222,0.472,0.528,1338,649,689,0.3181,0.3271,0.3101,166,46,120,0.1241,0.0709,0.1742,0.0395,0.0232,0.0540,100,48,52,0.0747,0.0740,0.0755,0.0238,0.0242,0.0234,2
Alexandria city,4561,2614,1947,0.573,0.427,1316,634,682,0.2885,0.2425,0.3503,176,63,113,0.1337,0.0994,0.1657,0.0386,0.0241,0.0580,290,193,97,0.2204,0.3044,0.1422,0.0636,0.0738,0.0498,101
Alleghany County,698,523,175,0.749,0.251,287,224,63,0.4112,0.4283,0.3600,6,0,6,0.0209,0.0000,0.0952,0.0086,0.0000,0.0343,26,21,5,0.0906,0.0938,0.0794,0.0372,0.0402,0.0286,3
Amelia County,470,281,189,0.598,0.402,173,102,71,0.3681,0.3630,0.3757,5,1,4,0.0289,0.0098,0.0563,0.0106,0.0036,0.0212,4,1,3,0.0231,0.0098,0.0423,0.0085,0.0036,0.0159,4
Amherst County,1356,715,641,0.527,0.473,436,226,210,0.3215,0.3161,0.3276,31,8,23,0.0711,0.0354,0.1095,0.0229,0.0112,0.0359,11,3,8,0.0252,0.0133,0.0381,0.0081,0.0042,0.0125,5
Appomattox County,677,426,251,0.629,0.371,169,90,79,0.2496,0.2113,0.3147,6,1,5,0.0355,0.0111,0.0633,0.0089,0.0023,0.0199,9,3,6,0.0533,0.0333,0.0759,0.0133,0.0070,0.0239,6
Arlington County,4907,1933,2974,0.394,0.606,1403,479,924,0.2859,0.2478,0.3107,220,52,168,0.1568,0.1086,0.1818,0.0448,0.0269,0.0565,286,166,120,0.2038,0.3466,0.1299,0.0583,0.0859,0.0403,7
Augusta County,2715,1536,1179,0.566,0.434,912,453,459,0.3359,0.2949,0.3893,49,4,45,0.0537,0.0088,0.0980,0.0180,0.0026,0.0382,45,19,26,0.0493,0.0419,0.0566,0.0166,0.0124,0.0221,8
Bath County,172,106,66,0.616,0.384,68,45,23,0.3953,0.4245,0.3485,2,1,1,0.0294,0.0222,0.0435,0.0116,0.0094,0.0152,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9
Bedford city,282,107,175,0.379,0.621,99,23,76,0.3511,0.2150,0.4343,11,1,10,0.1111,0.0435,0.1316,0.0390,0.0093,0.0571,1,0,1,0.0101,0.0000,0.0132,0.0035,0.0000,0.0057,140
Bedford County,3248,1548,1700,0.477,0.523,1011,440,571,0.3113,0.2842,0.3359,125,37,88,0.1236,0.0841,0.1541,0.0385,0.0239,0.0518,57,18,39,0.0564,0.0409,0.0683,0.0175,0.0116,0.0229,10
Bland County,384,306,78,0.797,0.203,116,85,31,0.3021,0.2778,0.3974,2,0,2,0.0172,0.0000,0.0645,0.0052,0.0000,0.0256,4,3,1,0.0345,0.0353,0.0323,0.0104,0.0098,0.0128,11
Botetourt County,1492,628,864,0.421,0.579,569,244,325,0.3814,0.3885,0.3762,86,22,64,0.1511,0.0902,0.1969,0.0576,0.0350,0.0741,35,13,22,0.0615,0.0533,0.0677,0.0235,0.0207,0.0255,12
