 div_num,div_name,FY2005T,FY2006T,FY2007T,FY2008T,FY2009T,FY2010T,FY2011T,FY2012T,FY2013T,FY2014T,FY2015T,FY2016T,Av05_07T, Av08_10T , Av11_13T , Av14_16T 
1,Accomack County Public Schools," 37,727 "," 39,131 "," 39,973 "," 39,576 "," 40,009 "," 39,299 "," 38,600 "," 38,727 "," 40,596 "," 40,949 "," 43,712 "," 44,339 ","38,944"," 39,628 "," 39,308 "," 43,000 "
2,Albemarle County Public Schools," 44,094 "," 47,688 "," 49,580 "," 51,223 "," 53,175 "," 51,960 "," 51,512 "," 50,959 "," 53,521 "," 54,586 "," 54,449 "," 55,281 ","47,121"," 52,119 "," 51,998 "," 54,772 "
3,Alleghany County Public Schools," 41,008 "," 43,123 "," 44,095 "," 45,580 "," 46,658 "," 46,646 "," 47,114 "," 47,184 "," 48,254 "," 47,477 "," 48,507 "," 48,391 ","42,742"," 46,295 "," 47,517 "," 48,125 "
4,Amelia County Public Schools," 30,516 "," 30,446 "," 40,442 "," 44,349 "," 46,811 "," 46,410 "," 44,762 "," 45,581 "," 43,357 "," 49,019 "," 49,150 "," 51,473 ","33,801"," 45,857 "," 44,567 "," 49,881 "
5,Amherst County Public Schools," 38,050 "," 39,705 "," 41,935 "," 42,816 "," 45,544 "," 44,280 "," 43,684 "," 43,609 "," 44,779 "," 45,527 "," 45,111 "," 46,323 ","39,897"," 44,213 "," 44,024 "," 45,654 "
6,Appomattox County Public Schools," 35,216 "," 37,296 "," 38,755 "," 41,028 "," 42,754 "," 39,870 "," 41,177 "," 40,133 "," 40,810 "," 39,904 "," 38,949 "," 40,052 ","37,089"," 41,217 "," 40,707 "," 39,635 "
7,Arlington County Public Schools," 61,407 "," 65,790 "," 64,447 "," 67,742 "," 69,073 "," 69,737 "," 68,979 "," 69,185 "," 73,626 "," 73,846 "," 74,534 "," 76,942 ","63,881"," 68,850 "," 70,597 "," 75,107 "
8,Augusta County Public Schools," 40,388 "," 41,286 "," 43,075 "," 44,062 "," 45,724 "," 45,001 "," 43,692 "," 43,669 "," 45,519 "," 47,061 "," 48,602 "," 48,610 ","41,583"," 44,929 "," 44,293 "," 48,091 "
9,Bath County Public Schools," 39,519 "," 41,562 "," 42,259 "," 42,037 "," 43,200 "," 42,076 "," 41,715 "," 43,288 "," 45,628 "," 46,784 "," 48,410 "," 47,911 ","41,113"," 42,438 "," 43,544 "," 47,702 "
10,Bedford County Public Schools," 38,074 "," 37,300 "," 39,694 "," 40,827 "," 43,455 "," 40,874 "," 41,023 "," 41,599 "," 42,524 "," 43,653 "," 40,986 "," 43,210 ","38,356"," 41,719 "," 41,715 "," 42,616 "
11,Bland County Public Schools," 35,811 "," 35,402 "," 37,863 "," 39,761 "," 42,156 "," 42,763 "," 41,583 "," 42,225 "," 41,685 "," 43,775 "," 42,605 "," 42,245 ","36,359"," 41,560 "," 41,831 "," 42,875 "
12,Botetourt County Public Schools," 43,955 "," 45,390 "," 46,561 "," 47,904 "," 49,051 "," 49,001 "," 48,130 "," 47,622 "," 48,866 "," 51,189 "," 51,293 "," 51,584 ","45,302"," 48,652 "," 48,206 "," 51,355 "
13,Brunswick County Public Schools," 38,097 ",-999," 37,843 "," 38,596 "," 40,277 "," 40,105 "," 39,216 "," 39,404 "," 41,333 "," 41,712 "," 40,223 "," 40,649 "," 37,970 "," 39,659 "," 39,984 "," 40,861 "
14,Buchanan County Public Schools," 37,333 "," 37,151 "," 38,686 "," 39,521 "," 41,690 "," 43,017 "," 39,532 "," 40,044 "," 38,468 "," 39,840 "," 41,429 "," 45,037 "," 37,723 "," 41,409 "," 39,348 "," 42,102 "
15,Buckingham County Public Schools," 37,425 "," 37,526 "," 39,827 "," 42,097 "," 43,664 "," 43,448 "," 42,426 "," 40,797 "," 42,521 "," 42,193 "," 41,477 "," 43,398 "," 38,259 "," 43,070 "," 41,915 "," 42,356 "
16,Campbell County Public Schools," 38,773 "," 39,663 "," 41,324 "," 42,204 "," 43,618 "," 43,376 "," 41,605 "," 40,884 "," 41,998 "," 43,257 "," 43,305 "," 45,822 "," 39,920 "," 43,066 "," 41,496 "," 44,128 "
17,Caroline County Public Schools," 39,376 "," 41,935 "," 43,807 "," 43,301 "," 45,674 "," 44,624 "," 42,473 "," 42,523 "," 49,820 "," 47,144 "," 48,630 "," 48,038 "," 41,706 "," 44,533 "," 44,939 "," 47,937 "
18,Carroll County Public Schools," 36,291 "," 36,885 "," 37,024 "," 36,938 "," 40,582 "," 40,933 "," 42,371 "," 40,442 "," 42,644 "," 44,042 "," 45,563 "," 44,025 "," 36,733 "," 39,484 "," 41,819 "," 44,543 "
