div_num,div_name,FY2005P,FY2006P,FY2007P,FY2008P,FY2009P,FY2010P,FY2011P,FY2012P,FY2013P,FY2014P,FY2015P,FY2016P,Av05_07P, Av08_10P , Av11_13P , Av14_16P 
001,Accomack County Public Schools,68799,71862,71524,72211,72693,71903,71628,72394,70940,81522,86843,83635,70728,72269,71654,84000
002,Albemarle County Public Schools,79351,89542,92865,94210,98567,95549,95192,95344,100500,40949,101299,103041,87252,96109,97012,81763
003,Alleghany County Public Schools,66451,68697,70909,73255,76045,75919,66880,76382,78845,80839,81789,83281,68686,75073,74036,81970
004,Amelia County Public Schools,55198,48545,75667,79589,85922,92287,82677,74915,82796,86616,83800,79715,59803,85933,80129,83377
005,Amherst County Public Schools,64849,66104,67944,69983,74344,75115,74132,72963,76751,78387,75120,78283,66299,73147,74615,77263
006,Appomattox County Public Schools,63607,59533,63346,70160,72979,71215,71488,68780,72660,74130,77861,70896,62162,71451,70976,74296
007,Arlington County Public Schools,110868,116858,122477,128380,133156,133948,132950,135881,141478,140745,143205,143092,116734,131828,136769,142347
008,Augusta County Public Schools,67574,70463,72736,72486,76745,76745,75803,75895,79842,84336,86137,84136,70258,75326,77180,84870
009,Bath County Public Schools,59545,62448,65118,66235,66143,72167,72167,68051,66324,65704,68378,69227,62371,68181,68847,67769
010,Bedford County Public Schools,71371,74086,74687,76558,79224,75277,69190,73889,76111,79842,77836,80159,73381,77020,73063,79279
011,Bland County Public Schools,55533,52814,53222,54193,54795,59204,51620,57668,58987,59968,57860,63894,53856,56064,56092,60574
012,Botetourt County Public Schools,79508,81676,85255,86165,88852,89494,89086,90324,91374,96486,95218,95177,82146,88170,90262,95627
013,Brunswick County Public Schools,64270,-999,72706,74421,68503,63407,73141,74212,77923,79402,81383,82218,72706,68777,75092,81001
014,Buchanan County Public Schools,57633,61687,60124,61614,63980,64746,65060,62227,60664,58022,58646,70383,59815,63447,62650,62350
015,Buckingham County Public Schools,63941,64577,67012,76985,81260,77356,77379,74447,77256,79343,79343,85810,65177,78533,76361,81499
016,Campbell County Public Schools,77138,80325,84635,86328,88523,88528,87970,88213,92555,95892,96966,99601,80700,87793,89579,97486
017,Caroline County Public Schools,73349,75621,78622,78959,88342,80498,78623,81613,83654,87033,84331,83919,75864,82600,81297,85094
018,Carroll County Public Schools,62199,63863,66556,70488,72034,72167,70856,73613,70592,72084,73510,77366,64206,71563,71687,74320
019,Charles City County Public Schools,73190,68111,68095,70743,69481,73263,72312,73035,73402,84289,82203,74119,69798,71162,72916,80204
020,Charlotte County Public Schools,57551,59871,63031,61691,60874,60014,59719,60720,66826,70001,74096,74694,60151,60860,62422,72931
021,Chesterfield County Public Schools,84349,85671,88705,90469,94855,93838,87323,83761,86916,88715,90252,90923,86242,93054,86000,89963
022,Clarke County Public Schools,79409,84886,88232,92823,97847,98347,98347,97760,104603,106695,98730,90138,84176,96339,100237,98521
023,Craig County Public Schools,64903,66813,74970,66231,60749,59854,62459,64391,66887,68123,66623,67610,68895,62278,64579,67452
024,Culpeper County Public Schools,78096,80694,86459,84876,90313,88526,86826,88469,93987,95887,98417,100530,81749,87905,89761,98278
025,Cumberland County Public Schools,67319,68070,69980,64287,64780,67165,67556,74051,77890,79432,79032,79621,68457,65411,73166,79361
026,Dickenson County Public Schools,57816,59716,62083,64741,71381,70498,71389,79531,71364,73933,75793,76065,59872,68873,74095,75263
027,Dinwiddie County Public Schools,71827,75379,75462,75596,80819,81625,81278,79976,87058,74480,85026,89123,74223,79347,82771,82876
028,Essex County Public Schools,66467,68461,70515,74140,76364,76364,77001,76798,85236,80624,85693,86472,68481,75623,79678,84263
029,Fairfax County Public Schools,108062,110424,115912,118159,120149,121114,119092,121301,122588,125519,128155,132250,111466,119807,120994,128642
030,Fauquier County Public Schools,71900,81850,92155,93532,87178,94379,90778,93602,98211,95007,98076,99861,81968,91696,94197,97648
031,Floyd County Public Schools,69195,70061,70243,71277,75399,74396,72373,68872,72843,74833,75463,77777,69833,73691,71363,76025
032,Fluvanna County Public Schools,72287,80036,87485,90428,94902,94902,89340,88856,88106,88400,91730,92813,79936,93410,88767,90981
033,Franklin County Public Schools,65881,-999,73885,76245,81236,79996,78582,77471,77624,80132,77983,77979,73885,79159,77892,78698
034,Frederick County Public Schools,78968,81909,89792,91810,95236,94404,97175,93224,96473,96495,97565,101707,83556,93817,95624,98589
035,Giles County Public Schools,66054,67703,70312,73005,75061,74895,69403,71060,72926,77093,80730,78840,68023,74321,71130,78888
036,Gloucester County Public Schools,76213,81023,83043,84588,82786,85537,84392,79064,85360,86642,84748,85647,80093,84304,82939,85679
037,Goochland County Public Schools,74662,76439,79569,106326,105967,92892,83470,82592,80873,85799,86142,87559,76890,101729,82312,86500
