What is your PRIMARY MAJOR?,"Internship, field experience, co-op, or practicum",ParticipateServiceL,ParticipateCService,ParticipateStudyAbroadSemester,SJ1,SJ2,SJ3,SJ4,SJ5,SJ6,SJ7,SJ8,DA1,DA2,DA3,DA4,DA5,LocalRole,LocalFinance,LocalTime,GlobalRole,GlobalFinance,GlobalTime,Your gender?
39,,,1,,2,3,4,4,2,2,5,5,3,5,2,4,4,,,,,,,2
13,1,,1,,3,2,2,2,3,3,4,4,2,3,1,5,4,,,,,,,1
52,,1,1,,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,2
29,,,,,4,4,4,3,4,4,5,4,2,4,1,4,3,,,,,,,2
63,,,1,,2,2,4,4,3,3,4,4,2,4,3,4,4,,,,,,,1
26,1,,,1,2,1,2,1,4,4,5,5,2,4,2,4,3,2,4,3,2,4,3,2
20,1,,1,,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,2
42,1,1,1,,1,1,1,1,3,4,3,4,2,3,1,4,4,,,,,,,1
18,1,1,1,,1,2,2,1,4,5,5,5,2,1,2,5,5,,,,,,,2
63,1,,1,,1,1,3,1,2,4,4,4,2,1,1,5,5,,,,,,,1
3,,,1,,2,3,2,2,4,4,4,4,2,2,1,4,4,,,,,,,1
49,1,1,1,,2,2,3,4,3,3,4,5,2,3,3,5,4,,,,,,,2
9,1,,,,3,3,3,2,3,3,5,4,2,3,2,2,4,,,,,,,1
26,1,,1,1,2,1,2,2,4,4,4,5,4,3,3,3,4,4,4,4,4,3,4,1
24,1,,,,2,2,3,2,4,3,5,4,3,3,2,4,4,,,,,,,2
23,,1,1,1,3,3,3,3,3,4,4,5,1,1,1,5,5,,,,,,,1
69,1,,1,,1,1,1,2,4,4,3,5,2,1,1,5,5,2,2,2,4,4,4,1
2,1,,1,,1,1,2,2,4,4,4,5,2,3,2,4,4,,,,,,,1
10,,,,,1,1,1,4,4,1,1,1,1,1,1,1,1,,,,,,,1
5,1,1,1,,3,3,3,2,4,4,4,4,2,3,1,5,5,,,,,,,1
49,1,,1,,2,2,2,2,3,3,4,4,1,2,1,4,4,,,,,,,1
17,1,,1,,3,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
26,1,,1,,2,1,2,2,4,4,4,5,2,2,2,5,5,5,4,5,4,4,4,1
63,,,,,1,1,1,1,5,5,5,5,2,1,1,5,4,,,,,,,2
5,1,,,,1,1,2,2,3,3,4,5,1,1,2,4,5,,,,,,,2
18,1,1,1,,2,2,2,2,3,4,4,4,2,4,2,4,4,,,,,,,1
3,,,1,,4,2,2,3,3,4,4,4,1,2,1,5,5,,,,,,,1
54,1,1,1,,2,1,2,1,4,4,4,5,1,3,1,4,4,,,,,,,2
42,,,1,,1,1,2,1,5,5,5,5,1,1,1,5,5,,,,,,,1
17,1,,1,,4,4,4,4,5,5,5,4,2,5,2,3,3,2,2,2,3,2,2,1
24,,,,,3,3,4,2,3,4,5,5,2,3,1,4,4,,,,,,,2
54,1,1,1,,4,3,3,2,4,4,4,5,4,4,2,4,3,,,,,,,1
24,,,1,,2,3,3,3,4,4,4,4,2,2,2,4,3,,,,,,,2
10,1,,1,,3,1,3,3,4,4,4,3,1,3,2,4,4,,,,,,,1
62,1,1,1,,1,2,2,3,4,4,4,5,4,2,2,5,5,,,,,,,1
52,1,,,,3,3,3,3,3,4,4,4,2,3,2,3,4,,,,,,,2
27,1,1,1,,2,2,3,2,5,4,4,4,2,3,2,5,5,,,,,,,1
23,1,,,,4,3,4,5,1,3,4,5,2,3,2,4,4,,,,,,,2
24,1,,,,2,2,4,2,3,4,4,4,2,2,1,5,4,,,,,,,2
12,,1,1,,3,3,3,2,4,2,5,4,2,3,4,5,4,,,,,,,2
5,1,,,,4,3,3,3,2,2,2,3,2,3,2,4,4,,,,,,,1
51,1,1,1,,2,2,4,2,3,3,4,5,4,2,2,5,3,2,1,1,2,1,1,2
3,1,,,,2,3,3,3,4,4,4,4,3,4,3,3,3,,,,,,,2
30,1,,1,,1,3,4,1,3,4,5,2,2,2,1,5,4,,,,,,,2
46,1,1,1,,4,2,4,4,4,2,5,4,1,4,1,5,5,,,,,,,1
10,,1,1,,2,2,2,2,4,4,4,4,2,4,2,5,5,,,,,,,1
63,1,,1,,3,3,5,1,3,1,1,5,1,3,1,5,5,,,,,,,2
47,1,1,1,,3,1,2,2,3,,,,,,,,,,,,,,,1
19,1,,1,,3,3,3,2,3,3,4,4,3,3,2,3,3,4,3,3,4,3,3,1
42,1,1,1,,1,1,2,1,4,4,4,5,2,2,2,5,5,,,,,,,1
62,,,1,,4,2,3,2,4,4,5,4,3,4,2,4,4,,,,,,,1
